vin,county,city,postal_code,model_year,make,model,electric_vehicle_type,electric_range,electric_utility,2020_census_tract,longitude,latitude
2T3YL4DV0E,King,Bellevue,98005,2014,TOYOTA,RAV4,BEV,103,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033023604,-122.1621,47.64441
5YJ3E1EB6K,King,Bothell,98011,2019,TESLA,MODEL 3,BEV,220,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033022102,-122.20563,47.76144
5UX43EU02S,Thurston,Olympia,98502,2025,BMW,X5,PHEV,40,PUGET SOUND ENERGY INC,53067011902,-122.92333,47.03779
JTMAB3FV5R,Thurston,Olympia,98513,2024,TOYOTA,RAV4 PRIME,PHEV,42,PUGET SOUND ENERGY INC,53067012332,-122.81754,46.98876
5YJYGDEE8M,Yakima,Selah,98942,2021,TESLA,MODEL Y,BEV,0,PACIFICORP,53077003200,-120.53145,46.65405
3C3CFFGE1G,Thurston,Olympia,98501,2016,FIAT,500,BEV,84,PUGET SOUND ENERGY INC,53067010802,-122.89166,47.03956
5YJ3E1EA4J,Snohomish,Marysville,98271,2018,TESLA,MODEL 3,BEV,215,PUGET SOUND ENERGY INC,53061052808,-122.1677,48.11026
5YJ3E1EA3K,King,Seattle,98102,2019,TESLA,MODEL 3,BEV,220,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006600,-122.32427,47.63433
1N4AZ0CP5E,Thurston,Yelm,98597,2014,NISSAN,LEAF,BEV,84,PUGET SOUND ENERGY INC,53067012421,-122.60735,46.94239
5YJSA1S25F,Thurston,Yelm,98597,2015,TESLA,MODEL S,BEV,208,PUGET SOUND ENERGY INC,53067012532,-122.60735,46.94239
5YJSA1E27G,Snohomish,Everett,98208,2016,TESLA,MODEL S,BEV,210,PUGET SOUND ENERGY INC,53061041701,-122.18637,47.89251
1G1FX6S03H,Kitsap,Port Orchard,98366,2017,CHEVROLET,BOLT EV,BEV,238,PUGET SOUND ENERGY INC,53035092200,-122.63847,47.54103
1N4AZ0CP0F,King,North Bend,98045,2015,NISSAN,LEAF,BEV,84,"PUGET SOUND ENERGY INC, CITY OF TACOMA - (WA)",53033032705,-121.7831,47.49348
5YJSA1E25F,Snohomish,Mukilteo,98275,2015,TESLA,MODEL S,BEV,208,PUGET SOUND ENERGY INC,53061042001,-122.29196,47.89908
1N4AZ1CP4J,Snohomish,Bothell,98012,2018,NISSAN,LEAF,BEV,151,PUGET SOUND ENERGY INC,53061052009,-122.21061,47.83448
